title,year,mpaa,runtime,genres,star_rating,director,stars,gross,release_date
A Aa,2016,,,Romantic Comedy,,,,"$2,313,043","Jun 1, 2016"
Bringing Tibet Home,2016,,,Documentary,,,,$0,"Dec 31, 2016"
Ã€ Bras Ouverts,2017,,,Comedy,,,,$0,"Dec 31, 2017"
A.C.O.D.,2013,,,Comedy,,,,"$157,690","Oct 4, 2013"
A Casa Tutti Bene,2017,,,Comedy,,,,$0,"Dec 31, 2017"
A Ciambra,2018,,,Drama,,,,"$30,988","Jan 19, 2018"
Ã� Deriva,2009,,,,,,,$0,"Dec 31, 2009"
Ã€ fond,2016,,,Comedy,,,,$0,"Dec 31, 2016"
A Friend of Deceased,1998,,,,,,,"$157,437","May 1, 1998"
A Ga ssi,2016,,,Drama,,,,"$2,006,788","Oct 21, 2016"
Ã€ jamais,2016,,,Drama,,,,$0,"Dec 31, 2016"
A.K.: The Making of Ran,1986,,,Documentary,,,,$0,"Jan 31, 1986"
Ã  L'IntÃ©rieur,2008,,,Horror,,,,$0,"Apr 15, 2008"
Ã  la folie... pas du tout,2003,,,Thriller/Suspense,,,,"$1,009,827","Feb 14, 2003"
A La Mala,2015,,,Romantic Comedy,,,,"$3,629,842","Feb 27, 2015"
Ã€ la vie,2016,,,Drama,,,,$0,"May 27, 2016"
The A-List,2015,,,Comedy,,,,$0,"May 12, 2015"
A MÃ£e Ã© que Sabe,2016,,,Comedy,,,,$0,"Dec 31, 2016"
A Martfui Rem,2016,,,Thriller/Suspense,,,,$0,"Dec 31, 2016"
A*P*E,2017,,,Adventure,,,,$0,"Feb 28, 2017"
Ã€ peine jâ€™ouvre les yeux,2016,,,Drama,,,,"$30,989","Sep 9, 2016"
A Princess for Christmas,2012,,,Romantic Comedy,,,,$0,"Oct 16, 2012"
A*sholes,2017,,,Romantic Comedy,,,,$0,"Oct 6, 2017"
The A-Team,2010,,,Action,,,,"$77,222,099","Jun 11, 2010"
A Toca do Lobo,2015,,,Documentary,,,,$0,"Dec 31, 2015"
Ã€ trois on y va,2015,,,Drama,,,,$0,"Dec 31, 2015"
A vida privada dos hipopÃ³tamos,2015,,,Documentary,,,,$0,"Aug 28, 2015"
Aa Gaye Munde U.K. De,2014,,,Romantic Comedy,,,,"$135,000","Aug 8, 2014"
Aaaaaaaah!,2015,,,Black Comedy,,,,$0,"Dec 31, 2015"
Aadhi,2017,,,Musical,,,,$0,"Dec 31, 2017"
Aadu 2,2017,,,Comedy,,,,$0,"Dec 31, 2017"
Aagey Se Right,2009,,,,,,,$0,"Sep 4, 2009"
Aaha Kalyanam,2014,,,Romantic Comedy,,,,$0,"Feb 21, 2014"
Aaja Nachle,2007,,,Musical,,,,"$484,108","Nov 30, 2007"
Aanandam,2016,,,Romantic Comedy,,,,$0,"Dec 31, 2016"
Aandavan Kattalai,2016,,,Drama,,,,$0,"Dec 31, 2016"
Aap Kaa Surroor,2007,,,,,,,$0,"Dec 31, 2007"
Aarakshan,2011,,,Drama,,,,"$651,096","Aug 12, 2011"
Aardvark,2018,,,,,,,$0,"Apr 13, 2018"
Aaron and Sarah,2011,,,Romantic Comedy,,,,$0,"Dec 31, 2011"
Aaronâ€™s Blood,2017,,,Horror,,,,$0,"Jun 2, 2017"
Aashayein,2010,,,Drama,,,,$0,"Aug 27, 2010"
Aashiqui 2,2011,,,Musical,,,,$0,"Dec 31, 2011"
Aatishbaazi Ishq,2016,,,Thriller/Suspense,,,,$0,"Dec 31, 2016"
Aatsinke: The Story of Arctic Cowboys,2014,,,Documentary,,,,$0,"Jan 24, 2014"
Abacus: Small Enough to Jail,2017,,,Documentary,,,,"$113,279","May 19, 2017"
Abandon,2002,,,Thriller/Suspense,,,,"$10,719,367","Oct 18, 2002"
Abandoned,2016,,,Thriller/Suspense,,,,$0,"May 3, 2016"
Abandoned,2009,,,Thriller/Suspense,,,,$0,"Dec 31, 2009"
Abandoned Mine,2013,,,Thriller/Suspense,,,,$0,"Aug 15, 2013"
The Abandoned,2007,,,Horror,,,,"$1,255,524","Feb 23, 2007"
The Abandoned,2016,,,Thriller/Suspense,,,,$0,"Jan 8, 2016"
Abattoir,2016,,,Horror,,,,$0,"Dec 9, 2016"
Abbaneun Ddal,2016,,,Comedy,,,,$0,"Dec 31, 2016"
L'abbiamo fatta grossa,2016,,,Comedy,,,,$0,"Dec 31, 2016"
ABC Africa,2002,,,Documentary,,,,"$8,886","May 3, 2002"
ABCD,2001,,,Drama,,,,"$83,372","Nov 30, 2001"
ABCD (Any Body Can Dance),2013,,,Musical,,,,"$222,098","Feb 8, 2013"
ABCD 2,2015,,,Drama,,,,"$892,133","Jun 19, 2015"
The ABCâ€™s of Death 2,2014,,,Horror,,,,"$7,171","Oct 31, 2014"
The ABCs of Death,2013,,,Horror,,,,"$21,832","May 21, 2013"
Abducted by Aliens: UFO Encounters of the 4th Kind,2014,,,Documentary,,,,$0,"Feb 4, 2014"
Abduction,2011,,,Thriller/Suspense,,,,"$28,087,155","Sep 23, 2011"
Abduction: The Megumi Yokota Story,2006,,,Documentary,,,,"$26,859","Nov 24, 2006"
Abe & Phil's Last Poker Game,2018,,,Comedy,,,,$0,"Jan 12, 2018"
Abel,2011,,,Drama,,,,$0,"Mar 4, 2011"
Abel's Field,2013,,,Drama,,,,$0,"Jan 23, 2013"
Aberdeen,2001,,,Drama,,,,"$64,148","Aug 17, 2001"
Aberdeen,2014,,,Drama,,,,$0,"May 9, 2014"
Abner the Invisible Dog,2014,,,,,,,$0,"Mar 11, 2014"
The Abolitionists,2016,,,Documentary,,,,$0,"May 16, 2016"
Abominable,2006,,,Horror,,,,"$1,810","Apr 14, 2006"
Abominable Christmas,2013,,,Adventure,,,,$0,"Oct 23, 2013"
Abouna,2004,,,Drama,,,,"$2,350","Feb 20, 2004"
About a Boy,2002,,,Romantic Comedy,,,,"$40,803,000","May 17, 2002"
About a Girl,2015,,,Drama,,,,$0,"Dec 31, 2015"
About Adam,2001,,,Comedy,,,,"$151,559","May 11, 2001"
About Alex,2014,,,Drama,,,,$0,"Aug 8, 2014"
About Cherry,2012,,,Drama,,,,"$3,003","Sep 21, 2012"
About Fifty,2011,,,,,,,"$2,500","Nov 11, 2011"
About Last Night...,1986,,,Comedy,,,,"$38,702,310","Jul 1, 1986"
About Last Night,2014,,,Romantic Comedy,,,,"$48,637,684","Feb 14, 2014"
About Schmidt,2002,,,Drama,,,,"$65,005,217","Dec 13, 2002"
About Scout,2016,,,Comedy,,,,$0,"Mar 11, 2016"
About Sunny,2013,,,Drama,,,,$0,"Dec 31, 2013"
About Time,2013,,,Romantic Comedy,,,,"$15,323,921","Nov 1, 2013"
Above and Below,2016,,,Documentary,,,,$0,"Apr 15, 2016"
Above and Beyond,2015,,,Documentary,,,,"$288,751","Jan 30, 2015"
Above Suspicion,1995,,,Drama,,,,$0,"May 21, 1995"
Above Suspicion,1994,,,Thriller/Suspense,,,,$0,"Mar 7, 1994"
Above the Law,1988,,,Action,,,,"$18,869,631","Apr 8, 1988"
